gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
43417.300,33.7139322,73.0883377,554.20,0.000,0.000,0.80,17
43417.400,33.7139322,73.0883377,554.20,0.000,0.000,0.80,17
43417.500,33.7139323,73.0883377,554.20,0.000,0.000,0.80,17
43417.600,33.7139323,73.0883377,554.20,0.000,0.000,0.80,17
43417.700,33.7139325,73.0883377,554.20,0.000,0.000,0.80,17
43417.800,33.7139325,73.0883375,554.20,0.000,0.000,0.80,17
43417.900,33.7139327,73.0883375,554.20,0.000,0.000,0.80,17
43418.000,33.7139327,73.0883375,554.20,0.000,0.000,0.80,17
43418.100,33.7139328,73.0883375,554.20,0.000,0.000,0.80,17
43418.200,33.7139328,73.0883375,554.20,0.000,0.000,0.80,17
43418.300,33.7139330,73.0883375,554.10,0.000,0.000,0.80,17
43418.400,33.7139330,73.0883375,554.10,0.000,0.000,0.80,17
43418.500,33.7139330,73.0883375,554.10,0.000,0.000,0.80,17
43418.600,33.7139332,73.0883375,554.10,0.000,0.000,0.80,17
43418.700,33.7139332,73.0883373,554.10,0.000,0.000,0.80,17
43418.800,33.7139332,73.0883373,554.10,0.000,0.000,0.80,17
43418.900,33.7139333,73.0883373,554.10,0.000,0.000,0.80,17
43419.000,33.7139333,73.0883373,554.10,0.000,0.000,0.80,17
43419.100,33.7139333,73.0883372,554.10,0.000,0.000,0.80,17
43419.200,33.7139335,73.0883372,554.10,0.000,0.000,0.80,17
43419.300,33.7139335,73.0883372,554.10,0.000,0.000,0.80,17
43419.400,33.7139335,73.0883372,554.10,0.000,0.000,0.80,17
43419.500,33.7139337,73.0883372,554.10,0.000,0.000,0.80,17
43419.600,33.7139337,73.0883370,554.10,0.000,0.000,0.80,17
43419.700,33.7139337,73.0883370,554.10,0.000,0.000,0.80,17
43419.800,33.7139337,73.0883370,554.10,0.000,0.000,0.80,17
43419.900,33.7139338,73.0883370,554.10,0.000,0.000,0.80,17
43420.000,33.7139338,73.0883370,554.10,0.000,0.000,0.80,17
43420.200,33.7139338,73.0883370,554.10,0.000,0.000,0.80,17
43420.300,33.7139338,73.0883368,554.10,0.000,0.000,0.80,17
